id,menu
1701446020-172,mie suit
1701446020-172,udang rambutan
1701446020-172,lumpia udang
1701446020-173,paket gacoan b
1701446020-174,siomay
1701446020-175,udang rambutan
1701446020-175,udang keju
1701446020-176,siomay
1701446020-176,mie gacoan lv 0
1701446020-177,mie suit
1701446020-177,mie hompimpa lv 1
1701446020-177,udang keju
1701446020-178,mie gacoan lv 0
1701446020-178,mie gacoan lv 1
1701446020-178,udang rambutan
1701446020-178,udang keju
1701446020-179,mie gacoan lv 1
1701446020-180,mie gacoan lv 4
1701446020-180,udang rambutan
1701446020-180,udang keju
1701446020-180,mie gacoan lv 1
1701446020-180,lumpia udang
1701446020-181,mie gacoan lv 3
1701446020-181,udang keju
1701446020-181,pangsit
1701446020-182,mie gacoan lv 0
1701446020-182,udang keju
1701446020-183,mie gacoan lv 3
1701446020-183,udang rambutan
1701446020-183,lumpia udang
1701446020-183,udang keju
1701446020-184,mie gacoan lv 1
1701446020-184,mie gacoan lv 4
1701446020-184,pangsit
1701446020-185,mie gacoan lv 0
1701446020-186,mie gacoan lv 1
1701446020-186,mie gacoan lv 2
1701446020-187,mie gacoan lv 1
1701446020-187,udang keju
1701446020-187,mie gacoan lv 0
1701446020-188,mie suit
1701446020-188,mie gacoan lv 4
1701446020-188,udang keju
1701446020-188,mie gacoan lv 0
1701446020-188,es sluku bathok
1701446020-188,es petak umpet
1701446020-189,mie gacoan lv 1
1701446020-189,mie suit
1701446020-189,udang keju
1701446020-189,paket gacoan b
1701446020-190,mie suit
1701446020-190,udang keju
1701446020-191,mie gacoan lv 4
1701446020-192,mie gacoan lv 0
1701446020-192,udang keju
1701446020-193,mie gacoan lv 1
1701446020-193,mie gacoan lv 4
1701446020-193,udang keju
1701446020-193,lumpia udang
1701446020-194,mie gacoan lv 4
1701446020-194,siomay
1701446020-194,udang rambutan
1701446020-194,es teklek
1701446020-195,mie gacoan lv 1
1701446020-195,mie gacoan lv 0
1701446020-196,pangsit
1701446020-196,mie gacoan lv 0
1701446020-196,mie gacoan lv 1
1701446020-197,mie gacoan lv 4
1701446020-197,mie gacoan lv 3
1701446020-198,mie gacoan lv 2
1701446020-198,siomay
1701446020-198,orange
1701446020-199,mie gacoan lv 0
1701446020-199,mie gacoan lv 1
1701446020-200,udang keju
1701446020-200,mie gacoan lv 0
1701446020-201,mie hompimpa lv 1
1701446020-201,mie gacoan lv 1
1701446020-202,mie gacoan lv 1
1701446020-202,pangsit
1701446020-203,mie gacoan lv 1
1701446020-203,mie gacoan lv 0
1701446020-203,udang rambutan
1701446020-203,lumpia udang
1701446020-204,mie gacoan lv 0
1701446020-204,mie gacoan lv 1
1701446020-204,mie gacoan lv 8
1701446020-204,siomay
1701446020-205,mie hompimpa lv 2
1701446020-205,mie gacoan lv 3
1701446020-205,teh
1701446020-205,udang rambutan
1701446020-206,mie gacoan lv 0
1701446020-206,lumpia udang
1701446020-206,udang rambutan
1701446020-206,siomay
1701446020-207,udang keju
1701446020-207,udang rambutan
1701446020-207,mie gacoan lv 2
1701446020-208,siomay
1701446020-208,udang keju
1701446020-208,mie gacoan lv 8
1701446020-208,mie gacoan lv 1
1701446020-208,lumpia udang
1701446020-209,udang keju
1701446020-209,udang rambutan
1701446020-209,lumpia udang
1701446020-210,mie gacoan lv 3
1701446020-210,udang keju
1701446020-211,mie gacoan lv 0
1701446020-211,mie gacoan lv 6
1701446020-211,siomay
1701446020-212,mie suit
1701446020-212,lumpia udang
1701446020-212,siomay
1701446020-213,mie gacoan lv 0
1701446020-214,mie gacoan lv 1
1701446020-214,mie gacoan lv 6
1701446020-214,udang keju
1701446020-214,udang rambutan
1701446020-215,mie gacoan lv 0
1701446020-215,udang keju
1701446020-216,udang keju
1701446020-216,mie gacoan lv 0
1701446020-217,udang keju
1701446020-217,siomay
1701446020-217,udang rambutan
1701446020-217,mie gacoan lv 3
1701446020-217,mie gacoan lv 6
1701446020-217,teh tarik
1701446020-217,es teklek
1701446020-218,mie gacoan lv 0
1701446020-218,vanilla latte
1701446020-219,udang keju
1701446020-219,mie hompimpa lv 3
1701446020-219,mie suit
1701446020-220,mie gacoan lv 0
1701446020-220,mie gacoan lv 1
1701446020-220,udang rambutan
1701446020-221,mie gacoan lv 1
1701446020-221,mie gacoan lv 3
1701446020-221,pangsit
1701446020-221,siomay
1701446020-221,udang rambutan
1701446020-221,lumpia udang
1701446020-221,udang keju
1701446020-222,mie gacoan lv 1
1701446020-222,siomay
1701446020-222,lumpia udang
1701446020-223,mie gacoan lv 0
1701446020-223,mie gacoan lv 2
1701446020-223,mie gacoan lv 4
1701446020-224,mie gacoan lv 1
1701446020-224,udang keju
1701446020-225,mie gacoan lv 1
1701446020-225,mie gacoan lv 0
1701446020-226,mie gacoan lv 1
1701446020-226,udang rambutan
1701446020-226,mie gacoan lv 3
1701446020-227,mie gacoan lv 2
1701446020-227,siomay
1701446020-228,mie gacoan lv 0
1701446020-228,mie gacoan lv 4
1701446020-229,siomay
1701446020-229,lumpia udang
1701446020-229,mie hompimpa lv 2
1701446020-230,mie gacoan lv 1
1701446020-230,mie gacoan lv 2
1701446020-230,siomay
1701446020-230,udang rambutan
1701446020-231,mie gacoan lv 0
1701446020-231,udang keju
1701446020-232,mie gacoan lv 0
1701446020-232,mie gacoan lv 1
1701446020-232,mie hompimpa lv 1
1701446020-233,mie hompimpa lv 4
